2000-07-02,20:43:00.0,48.67,7.71,2,0,unknown,BCSF,,,,,,20:43:00.0,48.67,7.71,2,0,20:42:59.0,48.95,7.88,1,0,,,,,,0.7,1.0
2000-07-05,19:28:41.0,48.85,7.27,5,2,unknown,BCSF,,,,,,19:28:41.0,48.85,7.27,5,2,,,,,,19:28:39.0,48.8,7.62,2,2.0,1.6,2.0
2000-07-06,03:16:58.0,49.06,7.76,5,2,unknown,BCSF,,,,,,03:16:58.0,49.06,7.76,5,2,,,,,,03:16:58.0,49,8.1,2,2.0,1.6,2.0
2000-07-09,11:10:42.0,48.9,7.59,5,2.2,unknown,BCSF,,,,,,11:10:42.0,48.9,7.59,5,2.2,,,,,,11:10:40.0,48.92,7.86,2,2.2,1.7,2.2
2000-07-12,14:49:07.0,49.14,6.25,2,2.3,unknown,BCSF,,,,,,14:49:07.0,49.14,6.25,2,2.3,,,,,,14:49:07.0,49.2,6.39,1,2.3,1.8,2.3
2000-07-17,19:16:03.0,49.38,7.04,1,2.2,unknown,BCSF,,,,,,19:16:03.0,49.38,7.04,1,2.2,19:16:03.0,49.37,6.97,1,2.2,19:16:03.0,49.39,6.83,1,2.5,2.0,2.6
2000-07-20,22:05:12.0,49.37,6.98,1,2.1,unknown,BCSF,,,,,,22:05:12.0,49.37,6.98,1,2.1,22:05:11.0,49.37,6.94,1,2.1,22:05:13.0,49.28,6.83,1,2.5,2.0,2.5
2000-09-05,23:29:11.0,49.37,6.97,1,2.1,unknown,BCSF,,,,,,23:29:11.0,49.37,6.97,1,2.1,23:29:11.0,49.37,6.92,2,2.1,23:29:10.0,49.42,6.95,1,2.3,1.9,2.4
2000-10-19,18:50:08.0,49.26,7.04,5,2,unknown,BCSF,,,,,,18:50:08.0,49.26,7.04,5,2,18:50:08.0,49.26,7.05,1,2,,,,,,2.0,2.5
2000-11-18,05:30:23.0,49.27,6.67,1,2.2,unknown,BCSF,,,,,,05:30:23.0,49.27,6.67,1,2.2,,,,,,05:30:21.0,49.39,7,1,2.2,1.7,2.2
2001-02-15,09:01:04.0,49.34,6.98,1,2.6,unknown,BCSF,,,,,,09:01:04.0,49.34,6.98,1,2.6,09:01:04.0,49.34,6.94,1,2.6,09:01:04.0,49.4,6.85,1,2.8,2.3,2.9
