Identifiant	Nom	N° Siret	Département	CP	Commune	N° Gidic	X-Lambert-93	Y-Lambert-93	Année début	Année fin	Activité	Raison sociale	Date fin arrêté	Substance	Année1	Année2	Explosifs
72157	Bel Air		86	86124	LAVOUX	072.01806	510600.08	6613338.95	1973	2003	Non	LA PIERRE DE LAVOUX RAGONNEAU	21 12 2005	Roche calcaire	1973	2003	
72158	Sarrat d'Al Pount		11	11335	SAINTE-COLOMBE-SUR-GUETTE	066.00322	637335.04	6184136.68	1973	2008	Oui	AGS-BMP BLANCS MINERAUX DE PARIS SOCIÉTÉ PYRÉNÉENNE DES CHARGES MINÉRALES DENAIN ANZIN	08 11 2008	Dolomie	1973	2008	
72159	La Pièce de la Bussière		86	86131	LHOMMAIZE	072.02021	516668.79	6597235.47	1993	2008	Non	SABLIERES ET CARRIERES DU SUD VIENNE MICHEL PAIN - LES SABLES DE LA GARTEMPE	07 12 2009	Dolomie	1993	2007	
72160	Le Sapinier	41239570900022	19	19068	DAMPNIAT	060.00041	594476.60	6453161.30	1984	2014	Oui	EUROVIA POITOU-CHARENTES LIMOUSIN BERNARD COGNAC	03 10 2014	Gneiss	1984	2014	
72162	Bois des Landes		03	03026	BESSON	164.00009	717048.42	6595114.78	2002	2032	Oui	CARRIERES DE LA FAUCHERE	05 02 2032	Granite, granodiorite, etc	2002	2032	
72163	Vallée des Chalminières		86	86131	LHOMMAIZE	072.03739	516756.20	6596705.30	2004	2012	Oui	SABLIERES ET CARRIERES DU SUD VIENNE MICHEL PAIN - LES SABLES DE LA GARTEMPE	17 03 2014	Dolomie	2004	2014	
72164	Billy, Créchy, Sanssat, Langy		03	03029	BILLY	056.00515	734489.78	6572264.08	1974	2034	Oui	VICAT	14 01 2034	Marne	1974	2034	
72165	Champ de Liot		11	11335	SAINTE-COLOMBE-SUR-GUETTE	066.00321	637075.52	6184100.60	1991	2021	Oui	SA IMERYS MINERAUX FRANCE AGS-BMP BLANCS MINERAUX DE PARIS SOCIÉTÉ PYRÉNÉENNE DES CHARGES MINÉRALES	12 12 2021	Dolomie	1991	2021	
72166	Les Ors, Le Bois de l'Ors, La Failloderie		86	86140	LUSSAC-LES-CHATEAUX	072.01744	525850.97	6589536.99	1990	2010	Oui	M. GARCIA PHILIPPE	29 05 2010	Dolomie	1990	2010	
72167	Le Gibarneix	3169148600028	19	19106	LAPLEAU	060.00484	632465.47	6466574.25	1973	2026	Oui	GRANITS DU CENTRE ETABLISSEMENTS JEAN MARUT MARUT JEAN	20 12 2026	Gneiss	1973	2026	
72169	Les Roches		86	86161	MONCONTOUR	072.03698	469402.93	6639868.68	2002	2017	Oui	ETABLISSEMENTS BOUCHER	17 04 2017	Roche calcaire	2002	2017	
